"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"1315",360010,"Saba","Netherlands","Stratovolcano","Eruption Observed","1640 CE","West Indies","West Indies",17.63,-63.23,887,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-63.23,17.63,TRUE
"1316",360020,"Quill, The","Netherlands","Stratovolcano","Eruption Dated","250 CE","West Indies","West Indies",17.478,-62.96,601,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-62.96,17.478,TRUE
"1317",360030,"Liamuiga","Saint Kitts and Nevis","Stratovolcano","Eruption Dated","160 CE","West Indies","West Indies",17.37,-62.8,1156,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-62.8,17.37,TRUE
"1318",360040,"Nevis Peak","Saint Kitts and Nevis","Stratovolcano","Evidence Uncertain","Unknown","West Indies","West Indies",17.15,-62.58,985,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-62.58,17.15,TRUE
"1319",360050,"Soufriere Hills","United Kingdom","Stratovolcano","Eruption Observed","2013 CE","West Indies","West Indies",16.72,-62.18,915,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-62.18,16.72,TRUE
"1320",360060,"Soufriere Guadeloupe","France","Stratovolcano","Eruption Observed","1977 CE","West Indies","West Indies",16.044,-61.664,1467,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-61.664,16.044,TRUE
"1321",360080,"Diables, Morne aux","Dominica","Lava dome(s)","Evidence Credible","Unknown","West Indies","West Indies",15.612,-61.43,861,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-61.43,15.612,TRUE
"1322",360090,"Diablotins, Morne","Dominica","Stratovolcano","Evidence Uncertain","Unknown","West Indies","West Indies",15.503,-61.397,1430,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-61.397,15.503,TRUE
"1323",360100,"Trois Pitons, Morne","Dominica","Complex","Eruption Dated","920 CE","West Indies","West Indies",15.37,-61.33,1387,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-61.33,15.37,TRUE
"1324",360101,"Watt, Morne","Dominica","Stratovolcano(es)","Eruption Observed","1997 CE","West Indies","West Indies",15.307,-61.305,1224,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-61.305,15.307,TRUE
"1325",360110,"Plat Pays, Morne","Dominica","Stratovolcano","Eruption Dated","1270 CE","West Indies","West Indies",15.255,-61.341,940,"Dacite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-61.341,15.255,TRUE
"1326",360120,"Pelee","France","Stratovolcano","Eruption Observed","1932 CE","West Indies","West Indies",14.809,-61.165,1394,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-61.165,14.809,TRUE
"1327",360140,"Qualibou","Saint Lucia","Caldera","Eruption Observed","1766 CE","West Indies","West Indies",13.83,-61.05,777,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-61.05,13.83,TRUE
"1328",360150,"Soufriere St. Vincent","Saint Vincent and the Grenadines","Stratovolcano","Eruption Observed","1979 CE","West Indies","West Indies",13.33,-61.18,1220,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-61.18,13.33,TRUE
"1329",360160,"Kick 'em Jenny","Grenada","Submarine","Eruption Observed","2017 CE","West Indies","West Indies",12.3,-61.64,-185,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-61.64,12.3,TRUE
"1330",360170,"St. Catherine","Grenada","Stratovolcano","Evidence Credible","Unknown","West Indies","West Indies",12.15,-61.67,840,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,-61.67,12.15,TRUE
"2586",360800,"Vigie, Morne la","Haiti","Pyroclastic cone",NA,NA,"West Indies","West Indies",18.78,-72.28,831,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-72.28,18.78,TRUE
"2587",360801,"Thomazeau","Haiti","Pyroclastic cone(s)",NA,NA,"West Indies","West Indies",18.68,-72.08,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-72.08,18.68,TRUE
"2588",360802,"San Juan","Dominican Republic","Pyroclastic cone(s)",NA,NA,"West Indies","West Indies",18.87,-71.33,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-71.33,18.87,TRUE
"2589",360803,"Dos Hermanos","Dominican Republic","Volcanic field",NA,NA,"West Indies","West Indies",18.75,-70.92,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-70.92,18.75,TRUE
"2590",360804,"Valle Nuevo","Dominican Republic","Volcanic field",NA,NA,"West Indies","West Indies",18.83,-70.67,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-70.67,18.83,TRUE
"2591",360805,"South East Range","Saint Kitts and Nevis","Stratovolcano",NA,NA,"West Indies","West Indies",17.33,-62.77,900,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-62.77,17.33,TRUE
"2592",360806,"Northern Centres","Netherlands","Stratovolcano(es)",NA,NA,"West Indies","West Indies",17.508,-62.992,0,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-62.992,17.508,TRUE
"2593",360807,"Silver Hills","United Kingdom","Lava dome(s)",NA,NA,"West Indies","West Indies",16.81,-62.194,403,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-62.194,16.81,TRUE
"2594",360808,"Centre Hills","United Kingdom","Lava dome(s)",NA,NA,"West Indies","West Indies",16.759,-62.196,741,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-62.196,16.759,TRUE
"2595",360809,"Septentrional Chain","France","Lava dome(s)",NA,NA,"West Indies","West Indies",16.23,-61.72,744,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.72,16.23,TRUE
"2596",360810,"Axial Chain","France","Stratovolcano(es)",NA,NA,"West Indies","West Indies",16.12,-61.7,1354,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.7,16.12,TRUE
"2597",360811,"Bouillante Chain","France","Maar(s)",NA,NA,"West Indies","West Indies",16.12,-61.75,420,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.75,16.12,TRUE
"2598",360812,"CaraÃ¯bes, Monts","France","Stratovolcano",NA,NA,"West Indies","West Indies",15.97,-61.68,687,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.68,15.97,TRUE
"2599",360813,"Terre de Bas","France","Stratovolcano(es)",NA,NA,"West Indies","West Indies",15.87,-61.63,274,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.63,15.87,TRUE
"2600",360814,"Foundland","Dominica","Stratovolcano",NA,NA,"West Indies","West Indies",15.27,-61.28,960,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.28,15.27,TRUE
"2601",360815,"Carbets, Pitons de","France","Stratovolcano",NA,NA,"West Indies","West Indies",14.7,-61.12,1196,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.12,14.7,TRUE
"2602",360816,"Unnamed","France","Volcanic field",NA,NA,"West Indies","West Indies",14.65,-61.08,0,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.08,14.65,TRUE
"2603",360817,"Garu, Morne","Saint Vincent and the Grenadines","Stratovolcano",NA,NA,"West Indies","West Indies",13.292,-61.2,1074,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-61.2,13.292,TRUE
"2604",360818,"Grand Bonhomme","Saint Vincent and the Grenadines","Stratovolcano",NA,NA,"West Indies","West Indies",13.22,-61.208,1021,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-61.208,13.22,TRUE
